Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
لوگو رئال مادرید,38,38,260,0,0.00,https://emojidb.org/real-madrid-emojis,0,0,0.00,0,90,"54, 54, 100, 100, 100, 43, 66, 54, 35, 43, 43, 35",2026-04-27,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
grumpy cat patch,57,57,50,0,0.00,https://emojidb.org/grumpy-cat-emojis,0,0,0.00,0.77,2340000,"11, 11, 17, 11, 29, 82, 41, 64, 82, 23, 11, 11",2026-04-28,"Image pack, Sitelinks, Video, Image, Popular products","commercial, informational",Organic
christmas sweater tumblr,45,45,140,0,0.00,https://emojidb.org/ugly-christmas-sweater-emojis,0,0,0.00,0.15,4850000,"18, 8, 8, 8, 5, 6, 8, 11, 11, 18, 66, 100",2026-05-23,"Sitelinks, Video","navigational, transactional",Organic
каомодзи котик,5,5,40,0,0.00,https://emojidb.org/cat-kaomoji-emojis,1,0,0.00,0.33,71,"64, 14, 14, 100, 14, 14, 14, 28, 35, 14, 14, 14",2026-05-16,Related searches,informational,Organic
каомодзи котик,25,25,40,0,0.00,https://emojidb.org/cat-emojis,0,0,0.00,0.33,71,"64, 14, 14, 100, 14, 14, 14, 28, 35, 14, 14, 14",2026-05-16,Related searches,informational,Organic
каомодзи котик,35,35,40,0,0.00,https://emojidb.org/%D0%BA%D0%B0%D0%BC%D0%BE%D0%B4%D0%B6%D0%B8-%D0%BA%D0%BE%D1%88%D0%BA%D0%B0-%D0%B7%D0%BB%D0%BE%D0%B9-emojis,0,0,0.00,0.33,71,"64, 14, 14, 100, 14, 14, 14, 28, 35, 14, 14, 14",2026-05-16,Related searches,informational,Organic
symbol for sober,44,44,90,0,0.00,https://emojidb.org/sober-emojis,0,0,0.00,0.02,105,"52, 33, 23, 33, 42, 33, 42, 66, 52, 52, 80, 52",2026-05-19,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
ugly face jug,79,79,70,0,0.15,https://emojidb.org/,0,0,0.00,0.69,1860000,"11, 29, 29, 23, 29, 17, 29, 52, 41, 82, 52, 64",2026-04-25,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
mariah the scientist tumblr,31,31,40,0,0.00,https://emojidb.org/mariah-the-scientist-emojis,0,0,0.00,0.07,350000,"14, 14, 14, 14, 14, 78, 14, 78, 14, 14, 14, 14",2026-05-14,"Video, Image, People also ask","navigational, transactional",Organic
pearl necklace tumblr,37,37,140,0,0.00,https://emojidb.org/pearl-necklace-emojis,0,0,0.00,0.15,191,"43, 43, 35, 35, 28, 23, 28, 23, 17, 66, 35, 53",2026-06-04,"Sitelinks, Video, People also ask","navigational, transactional",Organic
current moon phase as an emoji,24,24,320,0,0.00,https://emojidb.org/current-phase-moon-emojis,0,0,0.00,0.33,135,"32, 32, 21, 9, 17, 32, 48, 32, 32, 26, 32, 32",2026-06-04,"Video, People also ask, Related searches, AI overview",informational,Organic
current moon phase as an emoji,50,50,320,0,0.00,https://emojidb.org/current-moon-phase-emojis,0,0,0.00,0.33,135,"32, 32, 21, 9, 17, 32, 48, 32, 32, 26, 32, 32",2026-06-04,"Video, People also ask, Related searches, AI overview",informational,Organic
current moon phase as an emoji,65,65,320,0,0.00,https://emojidb.org/todays-current-moon-phase-emojis,0,0,0.00,0.33,135,"32, 32, 21, 9, 17, 32, 48, 32, 32, 26, 32, 32",2026-06-04,"Video, People also ask, Related searches, AI overview",informational,Organic
current moon phase as an emoji,84,84,320,0,0.00,https://emojidb.org/moon-phases-emojis,0,0,0.00,0.33,135,"32, 32, 21, 9, 17, 32, 48, 32, 32, 26, 32, 32",2026-06-04,"Video, People also ask, Related searches, AI overview",informational,Organic
current moon phase as an emoji,93,93,320,0,0.00,https://emojidb.org/current-phase-of-moon-emojis,0,0,0.00,0.33,135,"32, 32, 21, 9, 17, 32, 48, 32, 32, 26, 32, 32",2026-06-04,"Video, People also ask, Related searches, AI overview",informational,Organic
لوگو تویوتا,36,36,70,0,0.00,https://emojidb.org/toyota-emojis,0,0,0.00,0.33,162000,"78, 14, 14, 78, 78, 14, 14, 14, 14, 50, 50, 100",2026-04-19,"Image pack, Video, Image, Video Carousel, Related searches","informational, transactional",Organic
لوگو تویوتا,45,45,70,0,0.00,https://emojidb.org/toyota-logo-emojis,0,0,0.00,0.33,162000,"78, 14, 14, 78, 78, 14, 14, 14, 14, 50, 50, 100",2026-04-19,"Image pack, Video, Image, Video Carousel, Related searches","informational, transactional",Organic
لوگو بارسا,33,33,140,0,0.00,https://emojidb.org/barcelona-emojis,0,0,0.00,0,88,"28, 17, 23, 66, 100, 28, 35, 53, 28, 28, 28, 35",2026-05-26,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
stickers de penes,26,26,90,0,0.00,https://emojidb.org/pene-emojis,0,0,0.00,0.33,171,"45, 63, 63, 63, 63, 81, 100, 100, 63, 81, 63, 81",2026-06-08,Sitelinks,informational,Organic
what does yellow scarf mean,71,71,40,0,0.00,https://emojidb.org/yellow-scarves-emojis,0,0,0.00,0.33,16300000,"100, 9, 9, 9, 9, 9, 9, 9, 9, 9, 0, 9",2026-04-30,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
aesthetic symbols tumblr,28,0,70,0,0.00,https://emojidb.org/tumblr-emojis,0,0,0.00,0.33,87,"2, 3, 3, 2, 2, 1, 2, 2, 2, 4, 2, 2",2026-06-11,Related searches,"navigational, transactional",Organic
aesthetic symbols tumblr,34,0,70,0,0.00,https://emojidb.org/aesthetic-symbols-emojis,0,0,0.00,0.33,87,"2, 3, 3, 2, 2, 1, 2, 2, 2, 4, 2, 2",2026-06-11,Related searches,"navigational, transactional",Organic
aesthetic symbols tumblr,50,0,70,0,0.00,https://emojidb.org/aesthetic-symbol-emojis,0,0,0.00,0.33,87,"2, 3, 3, 2, 2, 1, 2, 2, 2, 4, 2, 2",2026-06-11,Related searches,"navigational, transactional",Organic
unique clan names for cod,37,37,70,0,0.00,https://emojidb.org/codm-name-symbols-emojis,0,0,0.00,0.33,2650000,"53, 26, 26, 26, 34, 26, 26, 26, 15, 19, 19, 7",2026-05-04,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
unique clan names for cod,41,41,70,0,0.00,https://emojidb.org/codm-name-symbols-emojis,0,0,0.00,0.33,2650000,"53, 26, 26, 26, 34, 26, 26, 26, 15, 19, 19, 7",2026-05-04,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
braille tumblr,97,97,260,0,0.00,https://emojidb.org/braille-emojis,0,0,0.00,0.33,648000,"18, 35, 35, 18, 22, 81, 100, 81, 54, 66, 66, 81",2026-06-02,"Sitelinks, Video, Related searches","navigational, transactional",Organic
gods greater than the highs and lows,65,65,720,0,0.61,https://emojidb.org/god-is-greater-than-the-highs-and-lows-emojis,0,0,0.00,0.95,159,"30, 20, 24, 20, 24, 44, 24, 30, 24, 20, 16, 16",2026-05-05,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
red ribbon stickers,36,36,40,0,1.06,https://emojidb.org/ribbon-emojis,0,0,0.00,0.89,28800000,"6, 6, 6, 6, 6, 6, 6, 6, 34, 34, 12, 6",2026-05-13,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","commercial, informational",Organic
یونیک,88,88,140,0,0.00,https://emojidb.org/unique-emojis,0,0,0.00,0,3560000,"80, 100, 80, 80, 52, 42, 80, 80, 52, 80, 66, 52",2026-05-14,"Image pack, Sitelinks, Video, Related searches",informational,Organic
different fonts for the letter l,88,88,90,0,0.00,https://emojidb.org/l-emojis,0,0,0.00,0.05,130,"50, 50, 50, 50, 64, 35, 64, 78, 78, 100, 64, 50",2026-05-10,"Image pack, Video, Image, Related searches",informational,Organic
tiktok emojis disdain,60,60,40,0,0.00,https://emojidb.org/disdain-emojis,0,0,0.00,0.33,65200,"100, 18, 100, 18, 100, 18, 18, 18, 18, 18, 18, 18",2026-05-12,"Image pack, Video, Image, Related searches",informational,Organic
bubbles in parrot poop,59,59,90,0,0.00,https://emojidb.org/,0,0,0.00,0,186000,"18, 18, 18, 100, 100, 100, 100, 100, 100, 63, 63, 63",2026-04-18,"Sitelinks, Video, Related searches, AI overview",informational,Organic
spread legs tumblr,25,25,110,0,0.00,https://emojidb.org/legs-spread-emojis,0,0,0.00,0,92,"15, 15, 18, 23, 23, 15, 18, 18, 15, 15, 15, 18",2026-05-16,Image pack,"navigational, transactional",Organic
biopacks,71,71,110,0,3.34,https://emojidb.org/aesthetic-bio-template-emojis,0,0,0.00,0.25,8340,"52, 42, 33, 42, 42, 52, 52, 66, 52, 100, 52, 42",2026-04-20,"Sitelinks, Video, Image, Related searches",informational,Organic
siamese kitten tumblr,50,50,50,0,0.00,https://emojidb.org/siamese-cat-emojis,0,0,0.00,0.04,598000,"0, 0, 5, 0, 17, 17, 5, 64, 52, 41, 100, 82",2026-05-15,,navigational,Organic
angel wing bow,30,30,40,0,0.00,https://emojidb.org/bow-with-angel-wings-emojis,0,0,0.00,0.14,158,"64, 23, 11, 100, 11, 11, 11, 11, 11, 11, 11, 11",2026-05-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
meandros,58,58,390,0,4.29,https://emojidb.org/greek-meandros-emojis,0,0,0.00,0.14,2110000,"54, 100, 44, 81, 54, 28, 54, 81, 44, 66, 66, 44",2026-05-01,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
emoji cake pops,9,9,70,0,0.00,https://emojidb.org/cake-pops-emojis,0,0,0.00,0.23,188,"42, 42, 33, 42, 23, 33, 33, 23, 23, 33, 9, 52",2026-06-10,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Short videos","commercial, informational",Organic
emoji cake pops,53,53,70,0,0.00,https://emojidb.org/cake-emojis,0,0,0.00,0.23,188,"42, 42, 33, 42, 23, 33, 33, 23, 23, 33, 9, 52",2026-06-10,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Short videos","commercial, informational",Organic
pictionary easter,63,63,70,0,0.00,https://emojidb.org/,0,0,0.00,0.86,460000,"4, 4, 22, 100, 4, 4, 4, 4, 4, 4, 4, 4",2026-04-20,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
pictionary easter,72,72,70,0,0.00,https://emojidb.org/,0,0,0.00,0.86,460000,"4, 4, 22, 100, 4, 4, 4, 4, 4, 4, 4, 4",2026-04-20,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
پشتوxxx,25,25,140,0,0.00,https://emojidb.org/%D9%BE%D8%B4%D8%AA%D9%88xxx-emojis,0,0,0.00,0,3030000,"65, 34, 15, 28, 81, 43, 43, 34, 65, 53, 15, 28",2026-05-04,,commercial,Organic
symbols copy and paste tumblr,12,12,70,0,0.00,https://emojidb.org/tumblr-emojis,0,0,0.00,0,123,"64, 35, 21, 35, 64, 64, 50, 35, 50, 50, 35, 50",2026-05-22,Related searches,"navigational, transactional",Organic
symbols copy and paste tumblr,32,32,70,0,0.00,https://emojidb.org/tumblr-symbols-emojis,0,0,0.00,0,123,"64, 35, 21, 35, 64, 64, 50, 35, 50, 50, 35, 50",2026-05-22,Related searches,"navigational, transactional",Organic
symbols copy and paste tumblr,75,75,70,0,0.00,https://emojidb.org/tumblr-bio-emojis,0,0,0.00,0,123,"64, 35, 21, 35, 64, 64, 50, 35, 50, 50, 35, 50",2026-05-22,Related searches,"navigational, transactional",Organic
symbols copy and paste tumblr,80,80,70,0,0.00,https://emojidb.org/aesthetic-symbols-emojis,0,0,0.00,0,123,"64, 35, 21, 35, 64, 64, 50, 35, 50, 50, 35, 50",2026-05-22,Related searches,"navigational, transactional",Organic
symbols copy and paste tumblr,82,82,70,0,0.00,https://emojidb.org/cute-symbols-emojis,0,0,0.00,0,123,"64, 35, 21, 35, 64, 64, 50, 35, 50, 50, 35, 50",2026-05-22,Related searches,"navigational, transactional",Organic
siamese cat tumblr,42,42,90,0,0.00,https://emojidb.org/siamese-cat-emojis,0,0,0.00,0.01,845000,"7, 7, 42, 7, 42, 42, 34, 26, 26, 42, 42, 42",2026-05-04,"Image pack, Image, Related searches","navigational, transactional",Organic
siamese cat tumblr,59,59,90,0,0.00,https://emojidb.org/siamese-cat-emojis,0,0,0.00,0.01,845000,"7, 7, 42, 7, 42, 42, 34, 26, 26, 42, 42, 42",2026-05-04,"Image pack, Image, Related searches","navigational, transactional",Organic
طبول الحرب,61,61,70,0,0.00,https://emojidb.org/%D8%B1%D9%85%D9%88%D8%B2-%D9%81%D9%82%D8%B1%D9%87-%D8%AD%D8%B1%D8%A8-%D8%A7%D9%84%D8%B7%D8%A8%D9%88%D9%84-emojis,0,0,0.00,0,95,"100, 41, 41, 29, 41, 5, 41, 23, 29, 11, 52, 41",2026-04-21,"Image pack, Video, Video Carousel, Related searches",informational,Organic
yellow pins,85,85,70,0,0.00,https://emojidb.org/yellow-pin-emojis,0,0,0.00,0.22,288000000,"23, 23, 41, 100, 41, 41, 29, 29, 52, 41, 23, 17",2026-05-11,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",Organic
emoji cups,4,4,110,0,0.00,https://emojidb.org/cup-emojis,3,0,0.00,0.11,179,"5, 64, 64, 100, 64, 64, 64, 64, 29, 41, 29, 82",2026-05-28,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",Organic
emoji cups,59,59,110,0,0.00,https://emojidb.org/cup-symbol-emojis,0,0,0.00,0.11,179,"5, 64, 64, 100, 64, 64, 64, 64, 29, 41, 29, 82",2026-05-28,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",Organic
emoji cups,75,75,110,0,0.00,https://emojidb.org/cup-symbol-emojis,0,0,0.00,0.11,179,"5, 64, 64, 100, 64, 64, 64, 64, 29, 41, 29, 82",2026-05-28,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",Organic
symbil,8,8,70,0,0.58,https://emojidb.org/symbil-emojis,1,0,0.00,0,33500,"2, 23, 2, 100, 12, 7, 7, 2, 53, 2, 12, 2",2026-05-26,"Image pack, Video, People also ask",informational,Organic
symbil,41,41,70,0,0.58,https://emojidb.org/symbils-emojis,0,0,0.00,0,33500,"2, 23, 2, 100, 12, 7, 7, 2, 53, 2, 12, 2",2026-05-26,"Image pack, Video, People also ask",informational,Organic
لوگوی رئال,51,51,70,0,0.00,https://emojidb.org/real-madrid-emojis,0,0,0.00,0,389,"78, 78, 21, 100, 64, 28, 64, 50, 50, 64, 50, 35",2026-05-17,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
boarders copy and paste,4,4,210,0,0.00,https://emojidb.org/border-emojis,13,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
boarders copy and paste,46,46,210,0,0.00,https://emojidb.org/side-border-emojis,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
boarders copy and paste,54,54,210,0,0.00,https://emojidb.org/borders-emojis,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
boarders copy and paste,62,62,210,0,0.00,https://emojidb.org/text-border-emojis,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
boarders copy and paste,66,66,210,0,0.00,https://emojidb.org/cute-border-emojis,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
boarders copy and paste,70,70,210,0,0.00,https://emojidb.org/vertical-border-emojis,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
boarders copy and paste,73,73,210,0,0.00,https://emojidb.org/thick-border-text-symbols-emojis,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
boarders copy and paste,77,77,210,0,0.00,https://emojidb.org/line-border-emojis,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
boarders copy and paste,78,78,210,0,0.00,https://emojidb.org/fancy-borders-emojis,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
boarders copy and paste,81,81,210,0,0.00,https://emojidb.org/border-line-emojis,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
black and white copy,77,77,50,0,2.11,https://emojidb.org/black-and-white-emojis,0,0,0.00,1,1980000000,"17, 17, 23, 5, 35, 28, 7, 5, 7, 10, 5, 7",2026-04-24,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
jokes with emojis,18,18,320,0,0.00,https://emojidb.org/jokes-emojis,0,0,0.00,0,10400000,"66, 35, 66, 44, 44, 28, 81, 44, 44, 44, 44, 54",2026-05-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
jokes with emojis,31,31,320,0,0.00,https://emojidb.org/jokes-emojis,0,0,0.00,0,10400000,"66, 35, 66, 44, 44, 28, 81, 44, 44, 44, 44, 54",2026-05-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
jokes with emojis,54,54,320,0,0.00,https://emojidb.org/joke-emojis,0,0,0.00,0,10400000,"66, 35, 66, 44, 44, 28, 81, 44, 44, 44, 44, 54",2026-05-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
jokes with emojis,86,86,320,0,0.00,https://emojidb.org/tells-bad-jokes-emojis,0,0,0.00,0,10400000,"66, 35, 66, 44, 44, 28, 81, 44, 44, 44, 44, 54",2026-05-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tanghulu sticker,43,43,140,0,0.00,https://emojidb.org/tanghulu-emojis,0,0,0.00,0.33,252000,"5, 1, 1, 1, 1, 100, 1, 1, 1, 1, 1, 1",2026-05-09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask",commercial,Organic
cool r font,49,49,40,0,0.00,https://emojidb.org/r-emojis,0,0,0.00,0.01,99,"18, 18, 18, 100, 100, 18, 18, 100, 18, 18, 18, 18",2026-05-17,"Image pack, Sitelinks, Video, Related searches",informational,Organic
heart shine,14,14,170,0,0.00,https://emojidb.org/heart-shine-emojis,0,0,0.00,0,164,"3, 28, 35, 35, 54, 28, 100, 23, 23, 18, 15, 15",2026-05-21,"Image pack, Video, Video Carousel, Related searches, AI overview",informational,Organic
different fonts for the letter k,99,99,90,0,0.00,https://emojidb.org/k-emojis,0,0,0.00,0,61000000,"81, 100, 63, 81, 100, 63, 45, 63, 100, 63, 81, 63",2026-05-10,"Image pack, Video, Image, Related searches",informational,Organic
emoji purim,6,6,40,0,0.00,https://emojidb.org/purim-emojis,0,0,0.00,0.33,381000,"18, 100, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18",2026-05-02,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
puns about emojis,34,34,70,0,0.00,https://emojidb.org/joke-emojis,0,0,0.00,0,686000,"52, 52, 17, 52, 52, 64, 41, 29, 41, 52, 41, 41",2026-04-24,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
puns about emojis,42,42,70,0,0.00,https://emojidb.org/joke-emojis,0,0,0.00,0,686000,"52, 52, 17, 52, 52, 64, 41, 29, 41, 52, 41, 41",2026-04-24,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
emoji puns,32,32,90,0,0.00,https://emojidb.org/pun-emojis,0,0,0.00,0,1220000,"29, 29, 22, 29, 18, 22, 29, 14, 14, 10, 18, 14",2026-04-28,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
whats the current phase of the moon as a emoji,28,28,70,0,0.00,https://emojidb.org/current-phase-moon-emojis,0,0,0.00,0.33,129,"100, 65, 42, 53, 7, 7, 7, 7, 7, 7, 7, 7",2026-06-02,"Video, People also ask, Related searches, AI overview",informational,Organic
