Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
l in cool font,35,35,140,1,0.00,https://coolsymbol.com/,0,0,0.00,0.02,82,"52, 64, 64, 82, 64, 64, 64, 82, 100, 100, 82, 82",2026-05-13,"Image pack, Video, Image, Related searches",informational,Organic
l in cool font,51,51,140,1,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.02,82,"52, 64, 64, 82, 64, 64, 64, 82, 100, 100, 82, 82",2026-05-13,"Image pack, Video, Image, Related searches",informational,Organic
telegram font generator,60,60,40,1,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,108,"42, 57, 42, 71, 71, 71, 42, 57, 57, 100, 57, 57",2026-06-04,"Sitelinks, Video, People also ask, Related searches",informational,Organic
border symbol copy and paste,24,24,140,1,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0.33,138,"42, 42, 53, 100, 80, 42, 53, 34, 26, 80, 65, 80",2026-06-08,"Image pack, People also ask, Related searches",informational,Organic
border symbol copy and paste,96,96,140,1,0.00,https://coolsymbol.com/line-symbols.html,0,0,0.00,0.33,138,"42, 42, 53, 100, 80, 42, 53, 34, 26, 80, 65, 80",2026-06-08,"Image pack, People also ask, Related searches",informational,Organic
manga text generator,49,49,140,1,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0,37700000,"52, 42, 66, 100, 66, 66, 66, 66, 66, 52, 66, 66",2026-04-25,"Image pack, Sitelinks, Video, Related searches",informational,Organic
c in cool font,27,27,40,2,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.01,1760000000,"18, 18, 18, 100, 100, 18, 18, 18, 18, 100, 18, 18",2026-04-24,"Image pack, Sitelinks, Video, Related searches",informational,Organic
badass gamertag generator,89,89,40,2,0.00,https://coolsymbol.com/,0,0,0.00,0.33,8020,"6, 3, 2, 5, 2, 1, 1, 2, 2, 3, 3, 2",2026-04-25,"Sitelinks, Related searches",informational,Organic
music note notepad,26,26,40,2,0.47,https://coolsymbol.com/musical-notes-symbols-music-symbols.html,0,0,0.00,1,13000000,"14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 78, 100",2026-04-26,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
music note notepad,28,28,40,2,0.47,https://coolsymbol.com/musical-notes-symbols-music-symbols.html,0,0,0.00,1,13000000,"14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 78, 100",2026-04-26,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
music note notepad,41,41,40,2,0.47,https://coolsymbol.com/musical-notes-symbols-music-symbols.html,0,0,0.00,1,13000000,"14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 78, 100",2026-04-26,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
play button symbol text copy and paste,33,33,50,2,0.00,https://coolsymbol.com/,0,0,0.00,0.33,102,"0, 41, 11, 100, 11, 23, 11, 11, 11, 11, 11, 82",2026-05-15,"Image pack, Image, People also ask, Related searches",informational,Organic
random music note generator,87,87,110,2,0.00,https://coolsymbol.com/musical-notes-symbols-music-symbols.html,0,0,0.00,0,29300000,"52, 100, 64, 82, 64, 64, 52, 64, 82, 64, 64, 41",2026-04-22,"Sitelinks, Video, Related searches",informational,Organic
fancy borders copy and paste,66,66,90,2,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,120,"5, 6, 8, 5, 4, 5, 5, 4, 5, 4, 4, 3",2026-05-10,"Image pack, Video, Image, Related searches",informational,Organic
how to find the tick symbol in excel,74,74,70,2,0.00,https://coolsymbol.com/check-mark-symbols-tick-symbols.html,0,0,0.00,0.33,3900000,"35, 50, 50, 28, 78, 50, 50, 50, 35, 50, 35, 50",2026-06-07,"Image pack, Video, People also ask, Related searches, Short videos, AI overview",informational,Organic
6 in different fonts,86,86,90,3,0.00,https://coolsymbol.com/,0,0,0.00,0,174000000,"7, 7, 9, 7, 9, 9, 7, 11, 11, 9, 9, 7",2026-04-25,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
rectangle text symbol,17,17,50,3,0.00,https://coolsymbol.com/square-rectangle-symbols.html,0,0,0.00,0,360000000,"9, 9, 9, 9, 33, 33, 52, 33, 33, 33, 0, 33",2026-05-07,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
snapchat font generator,26,26,140,3,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,89,"52, 52, 52, 100, 100, 66, 52, 80, 80, 66, 42, 66",2026-06-11,"Reviews, Video, Related searches",informational,Organic
designer brackets,41,41,70,3,0.00,https://coolsymbol.com/bracket-symbols-bracket-signs.html,0,0,0.00,0.3,189,"14, 78, 14, 78, 78, 14, 14, 78, 100, 21, 14, 14",2026-05-30,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
cool h font,26,26,70,3,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,86,"4, 4, 4, 22, 18, 4, 4, 22, 22, 22, 22, 29",2026-05-07,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
cool h font,51,51,70,3,0.00,https://coolsymbol.com/,0,0,0.00,0.33,86,"4, 4, 4, 22, 18, 4, 4, 22, 22, 22, 22, 29",2026-05-07,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
font for sign,87,87,260,3,1.70,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.71,8050000000,"22, 35, 54, 81, 66, 100, 100, 4, 81, 54, 35, 66",2026-04-19,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
fantasy symbol generator,44,44,50,3,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.03,3160,"42, 42, 33, 52, 33, 23, 33, 23, 9, 9, 9, 14",2026-05-13,"Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
style m in different fonts,50,50,110,3,0.00,https://coolsymbol.com/,0,0,0.00,0.01,147000000,"78, 78, 78, 78, 100, 64, 64, 64, 78, 64, 50, 50",2026-04-21,"Image pack, Video, Image, Related searches",informational,Organic
fancy font j,85,85,110,3,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.1,167000000,"64, 64, 23, 52, 100, 82, 64, 41, 82, 52, 29, 52",2026-05-10,"Image pack, Sitelinks, Video, Related searches",informational,Organic
aesthetic brackets,35,35,90,4,0.00,https://coolsymbol.com/bracket-symbols-bracket-signs.html,0,0,0.00,0.04,29600000,"64, 41, 41, 52, 41, 41, 41, 64, 41, 52, 41, 52",2026-04-26,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
border symbols copy and paste,25,25,140,4,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,8690000,"42, 33, 42, 42, 52, 100, 100, 80, 80, 66, 80, 80",2026-05-02,"Image, Related searches",informational,Organic
music aesthetic text,28,28,110,4,0.00,https://coolsymbol.com/,0,0,0.00,0,292000000,"64, 64, 64, 64, 82, 82, 52, 41, 64, 82, 100, 100",2026-04-19,"Image pack, Video, Related searches",informational,Organic
music aesthetic text,39,39,110,4,0.00,https://coolsymbol.com/musical-notes-symbols-music-symbols.html,0,0,0.00,0,292000000,"64, 64, 64, 64, 82, 82, 52, 41, 64, 82, 100, 100",2026-04-19,"Image pack, Video, Related searches",informational,Organic
music aesthetic text,87,87,110,4,0.00,https://coolsymbol.com/,0,0,0.00,0,292000000,"64, 64, 64, 64, 82, 82, 52, 41, 64, 82, 100, 100",2026-04-19,"Image pack, Video, Related searches",informational,Organic
copy and paste number symbols,38,38,110,4,0.00,https://coolsymbol.com/,0,0,0.00,0,135000000,"52, 66, 66, 33, 42, 42, 42, 52, 52, 66, 52, 66",2026-05-09,"Image pack, Related searches",informational,Organic
copy and paste number symbols,73,73,110,4,0.00,https://coolsymbol.com/fraction-symbols.html,0,0,0.00,0,135000000,"52, 66, 66, 33, 42, 42, 42, 52, 52, 66, 52, 66",2026-05-09,"Image pack, Related searches",informational,Organic
clash royale font generator,50,50,140,4,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0,86,"4, 4, 4, 4, 4, 4, 4, 35, 43, 100, 54, 54",2026-05-20,"Image pack, Sitelinks, Video, Related searches",informational,Organic
copy and paste text borders,50,50,110,4,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,20800000,"66, 52, 33, 66, 80, 23, 23, 52, 42, 66, 100, 66",2026-05-10,"Image pack, Video, Related searches",informational,Organic
cute border copy and paste,45,45,70,4,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,114,"26, 3, 7, 34, 11, 34, 11, 19, 42, 34, 65, 42",2026-05-21,"Video, Related searches",informational,Organic
m in fancy font,47,47,210,4,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.02,118,"23, 100, 53, 53, 66, 43, 35, 35, 35, 66, 35, 53",2026-04-25,"Image pack, Sitelinks, Video, Related searches",informational,Organic
i love you in cool font,47,47,50,4,0.00,https://coolsymbol.com/heart-symbols-love-symbols.html,0,0,0.00,0.33,148,"14, 78, 14, 14, 14, 14, 14, 14, 100, 14, 78, 14",2026-05-29,"Image pack, Video, Related searches",informational,Organic
copy and paste decor,34,34,110,4,0.00,https://coolsymbol.com/,0,0,0.00,0.33,106,"64, 78, 64, 78, 78, 50, 50, 64, 100, 78, 64, 100",2026-06-05,"Video, People also ask, Related searches",informational,Organic
copy and paste decor,48,48,110,4,0.00,https://coolsymbol.com/text-decorator.html,0,0,0.00,0.33,106,"64, 78, 64, 78, 78, 50, 50, 64, 100, 78, 64, 100",2026-06-05,"Video, People also ask, Related searches",informational,Organic
vertical fraction generator,17,17,40,4,0.00,https://coolsymbol.com/fraction-symbols.html,0,0,0.00,0.33,87,"23, 29, 29, 29, 17, 11, 17, 17, 23, 29, 11, 11",2026-05-25,"Video, People also ask, Related searches",informational,Organic
manga font generator,32,32,320,4,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0,31800000,"53, 53, 100, 82, 100, 53, 82, 66, 66, 66, 82, 66",2026-04-23,"Image pack, Sitelinks, Video, Related searches",informational,Organic
tyler the creator font generator,97,97,70,4,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0,3780000,"14, 14, 78, 78, 78, 14, 78, 64, 78, 35, 50, 35",2026-05-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
name borders copy and paste,47,28,70,4,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0.33,146,"11, 11, 11, 11, 11, 64, 64, 64, 64, 64, 52, 41",2026-06-11,"Image pack, Video, Related searches",informational,Organic
name borders copy and paste,91,0,70,4,0.00,https://coolsymbol.com/bracket-symbols-bracket-signs.html,0,0,0.00,0.33,146,"11, 11, 11, 11, 11, 64, 64, 64, 64, 64, 52, 41",2026-06-11,"Image pack, Video, Related searches",informational,Organic
text borders copy paste,38,38,110,4,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,22100000,"23, 52, 80, 52, 42, 52, 66, 80, 33, 100, 23, 100",2026-05-12,"Image pack, Video, Image, Related searches",informational,Organic
fancytech,66,66,70,4,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,50,"8, 11, 23, 23, 15, 11, 11, 8, 8, 6, 3, 3",2026-05-11,"Video, Image, Related searches",informational,Organic
different fonts for m,98,98,320,4,0.00,https://coolsymbol.com/,0,0,0.00,0,184000000,"23, 100, 36, 29, 66, 12, 29, 36, 66, 36, 36, 44",2026-05-13,"Image pack, Video, Image, Related searches",informational,Organic
rounded brackets,88,88,70,4,0.54,https://coolsymbol.com/bracket-symbols-bracket-signs.html,0,0,0.00,0.27,198,"0, 66, 66, 0, 11, 0, 0, 0, 0, 0, 0, 0",2026-06-07,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
aesthetic music symbols copy and paste,23,23,40,4,0.00,https://coolsymbol.com/musical-notes-symbols-music-symbols.html,0,0,0.00,0.33,136,"11, 11, 100, 11, 11, 11, 29, 23, 11, 11, 11, 41",2026-04-22,"Image pack, Video, Related searches",informational,Organic
aesthetic music symbols copy and paste,35,35,40,4,0.00,https://coolsymbol.com/musical-notes-symbols-music-symbols.html,0,0,0.00,0.33,136,"11, 11, 100, 11, 11, 11, 29, 23, 11, 11, 11, 41",2026-04-22,"Image pack, Video, Related searches",informational,Organic
şekilli semboller,52,52,170,4,0.00,https://coolsymbol.com/,0,0,0.00,0.33,75,"2, 8, 3, 3, 13, 30, 5, 100, 1, 1, 1, 1",2026-05-15,"Image pack, Related searches",informational,Organic
e in fancy font,40,40,50,5,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,113,"11, 11, 11, 11, 64, 11, 11, 11, 100, 64, 11, 82",2026-05-20,"Image pack, Sitelinks, Video, Related searches",informational,Organic
small k copy and paste,56,53,70,5,0.00,https://coolsymbol.com/,0,0,0.00,0.02,136,"28, 34, 34, 28, 21, 21, 21, 21, 21, 21, 15, 21",2026-06-11,"Video, People also ask, Related searches",informational,Organic
h cool font,41,41,70,5,0.00,https://coolsymbol.com/,0,0,0.00,0.33,88,"14, 14, 14, 78, 78, 14, 14, 78, 78, 78, 78, 100",2026-05-18,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
h cool font,56,56,70,5,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,88,"14, 14, 14, 78, 78, 14, 14, 78, 78, 78, 78, 100",2026-05-18,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
n in different fonts,69,69,390,5,0.00,https://coolsymbol.com/,0,0,0.00,0,128000000,"66, 54, 54, 66, 81, 54, 66, 100, 100, 100, 81, 66",2026-04-23,"Image pack, Video, Image, Related searches",informational,Organic
fancy b font,72,72,320,5,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.23,113,"53, 82, 66, 100, 100, 82, 66, 82, 82, 82, 66, 66",2026-04-26,"Image pack, Video, Image, Related searches",informational,Organic
symbol selector,24,24,40,5,0.00,https://coolsymbol.com/,0,0,0.00,0.33,113,"26, 7, 7, 7, 7, 26, 26, 19, 34, 7, 19, 7",2026-05-20,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
font styles for s,38,38,140,5,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,195,"28, 43, 28, 28, 34, 65, 21, 12, 21, 81, 53, 81",2026-06-08,"Image pack, Video, Image, Related searches",informational,Organic
cool c font,24,24,70,5,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0,89,"2, 2, 2, 12, 12, 2, 2, 2, 12, 12, 12, 12",2026-05-17,"Image pack, Sitelinks, Video, Related searches",informational,Organic
cool c font,53,53,70,5,0.00,https://coolsymbol.com/,0,0,0.00,0,89,"2, 2, 2, 12, 12, 2, 2, 2, 12, 12, 12, 12",2026-05-17,"Image pack, Sitelinks, Video, Related searches",informational,Organic
chiller font generator,62,62,40,5,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,98,"7, 7, 5, 12, 17, 7, 28, 17, 10, 5, 5, 10",2026-06-08,"Sitelinks, Related searches",informational,Organic
fresh prince font generator,51,51,70,5,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.01,103,"42, 42, 42, 42, 33, 33, 42, 33, 66, 33, 23, 23",2026-05-15,"Image pack, Video, Image, Related searches",informational,Organic
lucky charms font generator,63,63,40,5,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,106,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 28, 28",2026-06-04,"Sitelinks, Related searches",informational,Organic
bracket sign,25,25,480,5,1.51,https://coolsymbol.com/bracket-symbols-bracket-signs.html,0,0,0.00,0.16,186,"72, 100, 72, 100, 72, 26, 14, 21, 17, 32, 21, 11",2026-05-27,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
bracket sign,29,29,480,5,1.51,https://coolsymbol.com/bracket-symbols-bracket-signs.html,0,0,0.00,0.16,186,"72, 100, 72, 100, 72, 26, 14, 21, 17, 32, 21, 11",2026-05-27,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
copy and paste rectangle,11,11,70,5,0.00,https://coolsymbol.com/square-rectangle-symbols.html,0,0,0.00,0.33,96,"100, 78, 78, 64, 50, 64, 35, 35, 35, 35, 35, 64",2026-05-28,"Image pack, Video, People also ask, Related searches",informational,Organic
gothic symbols text,41,0,50,5,0.00,https://coolsymbol.com/,0,0,0.00,0.33,102,"15, 100, 80, 7, 7, 7, 7, 7, 7, 7, 0, 0",2026-06-11,"Sitelinks, Video, Related searches",informational,Organic
coachella font maker,52,52,40,5,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,63,"18, 18, 18, 100, 100, 18, 18, 18, 100, 18, 18, 18",2026-05-17,"People also ask, Related searches",informational,Organic
cute borders copy and paste,46,46,320,6,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,117,"43, 43, 43, 66, 100, 82, 100, 82, 100, 100, 100, 82",2026-05-21,"Image pack, Sitelinks, Related searches",informational,Organic
rectangle copy and paste,11,11,140,6,0.00,https://coolsymbol.com/square-rectangle-symbols.html,1,0,0.00,0,97,"100, 34, 53, 65, 53, 42, 53, 42, 53, 53, 53, 42",2026-05-18,Related searches,informational,Organic
pinterest font generator,47,47,170,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,97,"53, 34, 42, 65, 65, 65, 53, 65, 65, 100, 80, 80",2026-06-07,"Sitelinks, Video, Related searches","commercial, informational",Organic
matching bracket,78,78,90,6,0.00,https://coolsymbol.com/bracket-symbols-bracket-signs.html,0,0,0.00,0.01,169,"41, 64, 41, 29, 52, 41, 52, 41, 64, 41, 0, 100",2026-06-06,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
modify symbol,81,81,40,6,0.00,https://coolsymbol.com/,0,0,0.00,0.33,126,"11, 11, 11, 64, 11, 11, 11, 17, 64, 11, 11, 11",2026-05-20,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
sign with text,37,37,50,6,2.23,https://coolsymbol.com/,0,0,0.00,0.08,133,"0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 81",2026-05-13,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
home alone font generator,78,78,50,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,84900000,"6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 100, 43",2026-05-01,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
copy and paste borders,53,53,1300,6,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,23800000,"100, 41, 36, 54, 66, 36, 54, 54, 41, 30, 54, 54",2026-04-25,"Image pack, Image, Related searches",informational,Organic
off white font maker,90,90,210,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0,653000000,"22, 18, 14, 18, 35, 66, 29, 29, 54, 43, 81, 100",2026-05-03,"Image pack, Sitelinks, People also ask, Related searches",commercial,Organic
fonts c,43,43,70,6,0.00,https://coolsymbol.com/,0,0,0.00,0.01,200000000,"23, 0, 10, 10, 1, 0, 0, 0, 0, 0, 29, 23",2026-05-13,"Image pack, Sitelinks, Video, Related searches",informational,Organic
fonts c,51,51,70,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.01,200000000,"23, 0, 10, 10, 1, 0, 0, 0, 0, 0, 29, 23",2026-05-13,"Image pack, Sitelinks, Video, Related searches",informational,Organic
best font for a sign,40,40,30,6,0.54,https://coolsymbol.com/,0,0,0.00,0.38,153,"40, 40, 40, 80, 60, 40, 80, 80, 80, 80, 40, 100",2026-05-20,"Image pack, Sitelinks, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,Organic
fancy font b,69,69,170,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.23,341000000,"43, 65, 21, 34, 100, 53, 65, 43, 81, 81, 28, 34",2026-05-03,"Image pack, Sitelinks, Video, Related searches",informational,Organic
new york times font generator,96,96,210,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0,59700000,"54, 54, 54, 66, 54, 29, 29, 29, 43, 54, 43, 43",2026-05-10,"Video, People also ask, Related searches",informational,Organic
text patterns,58,58,50,6,0.00,https://coolsymbol.com/,0,0,0.00,0.33,131,"23, 29, 41, 41, 17, 29, 29, 41, 29, 41, 41, 29",2026-06-05,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
tropical font generator,42,42,40,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.02,104,"18, 36, 45, 63, 63, 100, 45, 27, 18, 18, 27, 18",2026-05-25,"Sitelinks, Video, Related searches",informational,Organic
supreme font generator,60,60,110,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.01,75,"28, 28, 21, 28, 34, 43, 53, 34, 34, 53, 34, 43",2026-05-29,Related searches,informational,Organic
planet symbol copy and paste,60,60,50,6,0.00,https://coolsymbol.com/,0,0,0.00,0,116,"21, 15, 21, 15, 21, 21, 21, 15, 15, 21, 21, 12",2026-05-12,"Image pack, Video, Image, Related searches",informational,Organic
tiktok fonts generator,77,77,110,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.01,91,"65, 26, 34, 42, 42, 53, 53, 42, 26, 34, 42, 53",2026-05-04,"Video, Related searches",informational,Organic
fantastic four font generator,45,45,40,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,8270000,"9, 9, 9, 9, 9, 9, 100, 52, 14, 9, 9, 9",2026-04-27,"Image pack, Sitelinks, Image, Related searches",informational,Organic
name border copy and paste,25,25,40,6,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,69900000,"14, 14, 14, 0, 0, 14, 78, 100, 50, 0, 0, 14",2026-05-07,"Image pack, Video, Image, Related searches",informational,Organic
hehe font,38,38,90,6,0.00,https://coolsymbol.com/,0,0,0.00,0.33,101,"100, 100, 100, 100, 81, 63, 81, 63, 63, 100, 63, 100",2026-05-28,Related searches,informational,Organic
hehe font,40,40,90,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,101,"100, 100, 100, 100, 81, 63, 81, 63, 63, 100, 63, 100",2026-05-28,Related searches,informational,Organic
hehe font,66,66,90,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,101,"100, 100, 100, 100, 81, 63, 81, 63, 63, 100, 63, 100",2026-05-28,Related searches,informational,Organic
hehe font,68,68,90,6,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,101,"100, 100, 100, 100, 81, 63, 81, 63, 63, 100, 63, 100",2026-05-28,Related searches,informational,Organic
25 in fancy font,16,16,40,7,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,92,"0, 100, 64, 11, 11, 11, 11, 11, 11, 11, 11, 11",2026-04-21,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
cool font k,28,28,70,7,0.00,https://coolsymbol.com/,0,0,0.00,0.33,100,"9, 9, 9, 52, 9, 9, 9, 9, 52, 52, 52, 66",2026-05-20,"Image pack, Video, Related searches",informational,Organic
cool font k,46,46,70,7,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.33,100,"9, 9, 9, 52, 9, 9, 9, 9, 52, 52, 52, 66",2026-05-20,"Image pack, Video, Related searches",informational,Organic
best fonts for name tags,76,76,30,7,1.04,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.47,114,"14, 0, 7, 14, 7, 0, 14, 78, 21, 35, 14, 14",2026-05-17,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
cool l fonts,37,37,140,7,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.02,95,"42, 52, 52, 66, 52, 52, 66, 80, 100, 80, 66, 80",2026-05-12,"Image pack, Video, Image, Related searches",informational,Organic
cool l fonts,38,38,140,7,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.02,95,"42, 52, 52, 66, 52, 52, 66, 80, 100, 80, 66, 80",2026-05-12,"Image pack, Video, Image, Related searches",informational,Organic
