Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
pair programming emoji,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
pairing animal emojis,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
pairing with reinforcement with emojis,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
pairs skating emoji,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
samsung emoji pair,,0,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
service that uses three emoji confirmation flow when pairing,,0,"0.00,0.00",,0.00,0.00,,
service that uses three-emoji confirmation flow when pairing,,0,"0.00,0.00,0.00",,0.00,0.00,,
service using three emoji confirmation flow for pairing,,0,"0.00,0.00,0.00",,0.00,0.00,,
service using three-emoji confirmation flow for pairing,,0,"0.00,1.00,0.00,0.00",,0.00,0.00,,
service with three emoji confirmation flow for pairing,,0,"0.00,0.00,0.00",,0.00,0.00,,
service with three emoji confirmation flow when pairing,,0,"0.00,0.00,0.00",,0.00,0.00,,
service with three-emoji confirmation flow when pairing,,0,"0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
skull and a pair of eyes emoji,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
standard emoji character paired,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
surrogate pair emoji,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
surrogate pairs emoji,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
three emoji confirmation flow pairing passkeys,,0,0.00,,0.00,0.00,,
three pairs of cherries emoji pop,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
three-emoji confirmation flow service pairing,,0,"0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
three-emoji confirmation flow when pairing with service,,0,"1.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
two pair of scissors emoji,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
what does pair of eyes emoji mean,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
what's a pair of pants emoji,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
